127.0.0.1 - - [03/Dec/2021:14:06:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:06:16 +0900] "GET /mbb/boardMain.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:06:18 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:06:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:06:42 +0900] "GET /mbb/boardDetail.do?b_num=43 HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:25:31 +0900] "GET /mbb/boardDetail.do?b_num=43 HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:26:17 +0900] "GET /mbb/boardUpdateForm.do?b_num=43 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:38:12 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:38:22 +0900] "GET /mbb/boardDetail.do?b_num=43 HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:38:34 +0900] "GET /mbb/boardUpdateForm.do?b_num=43 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:40:09 +0900] "GET /mbb/boardUpdateForm.do?b_num=43 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:40:13 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:40:15 +0900] "GET /mbb/boardDetail.do?b_num=42 HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:40:23 +0900] "GET /mbb/boardUpdateForm.do?b_num=42 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:42:06 +0900] "GET /mbb/boardUpdateForm.do?b_num=42 HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [03/Dec/2021:14:45:59 +0900] "GET /mbb/boardUpdateForm.do?b_num=42 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:11:17 +0900] "GET /mbb/boardUpdateForm.do?b_num=42 HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:12:50 +0900] "GET /mbb/boardUpdateForm.do?b_num=42 HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:14:26 +0900] "GET /mbb/boardUpdateForm.do?b_num=42 HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:16:14 +0900] "GET /mbb/boardUpdateForm.do?b_num=42 HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:17:19 +0900] "GET /mbb/boardUpdateForm.do?b_num=42 HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:22:10 +0900] "GET /mbb/boardUpdateForm.do?b_num=42 HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:22:12 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:22:14 +0900] "GET /mbb/boardDetail.do?b_num=43 HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:22:18 +0900] "GET /mbb/boardUpdateForm.do?b_num=43 HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:22:49 +0900] "POST /mbb/boardUpdate.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:47:15 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:47:21 +0900] "GET /mbb/boardDetail.do?b_num=43 HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:47:33 +0900] "GET /mbb/boardUpdateForm.do?b_num=43 HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:48:47 +0900] "POST /mbb/boardUpdate.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:15:48:47 +0900] "GET /mbb/boardDetail.do?b_num=43 HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [03/Dec/2021:16:31:44 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [03/Dec/2021:16:34:40 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [03/Dec/2021:16:35:03 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:05:39 +0900] "POST /mbb/boardSearch.do HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:10:50 +0900] "POST /mbb/boardSearch.do HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:11:02 +0900] "POST /mbb/boardSearch.do HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:11:15 +0900] "POST /mbb/boardSearch.do HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:11:32 +0900] "POST /mbb/boardSearch.do HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:11:44 +0900] "POST /mbb/boardSearch.do HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:13:25 +0900] "POST /mbb/boardSearch.do HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:13:30 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:13:34 +0900] "GET /mbb/boardWriteForm.do HTTP/1.1" 200 1462
